auto,autos
cantaloupe,cantaloupes
canvas,canvases
cap,caps
cargo,cargoes
carrot,carrots
carry,carries
case,case
cat,cats
catalog,catalogs
catalyst,catalysts
catch,catches
category,categories
cattle,cattles
century,centuries
ceo,ceos
cereal,cereals
certificate,certificates
chair,chairs
chalk,chalks
change,changes
chassis,chassises
cheese,cheeses
cheetah,cheetahs
cherry,cherries
chick,chicks
chicken,chickens
chile,chiles
chilli,chillies
chimney,chimneys
chocolate,chocolates
choose,chooses
christmas,christmases
chrysalis,chrysalides
citrus,citruses
clay,clays
clipper,clippers
clock,clocks
cloth,cloths
cloud,clouds
clutch,clutches
coach,coaches
coccus,cocci
code,codes
coffee,coffees
coincidence,coincidences
collateral,collaterals
colloquium,colloquiums
color,colors
colossus,colossi
comma,commas
committee,committees
company,companies
compass,compasses
competence,competences
complex,complexes
compliance,compliances
computer,computers
comrade,comrades
concerto,concertos
concrete,concretes
confetti,confettis
congress,congresses
conscience,consciences
conscious,conscious
consensus,consensus
consortium,consortiums
content,contents
context,contexts
continuum,continua
conundrum,conundra
coral,corals
corn,corns
cornea,corneas
corps,corps
corpse,corpses
corpus,corpora
correct,corrects
cortex,cortexes
cost,costs
counsel,counsels
couple,couples
course,courses
courtesy,courtesies
coverage,coverages
cow,cows
cox,coxes
coyote,coyotes
crab,crabs
cranium,craniums
crayon,crayons
criticism,criticisms
cross,crosses
crutch,crutches
crux,cruxes
cry,cries
cuckoo,cuckoos
cuff,cuffs
cup,cups
cupful,cupfuls
cyclops,cyclopes
dad,dads
daddy,daddies
daily,dailies
dairy,dairies
dais,daises
daisy,daisies
data,data
database,databases
date,dates
day,days
dear,dears
decoy,decoys
decubitus,decubiti
degree,degrees
deli,delis
delivery,deliveries
demo,demos
denarius,denarii
dentist,dentists
design,designs
desk,desks
dessert,desserts
destiny,destinies
device,devices
diagnosis,diagnoses
diary,diaries
dice,dices
die,dies
different,different
dilemma,dilemmas
dinosaur,dinosaurs
diploma,diplomas
disco,discos
discovery,discoveries
discuses,discuses
dispatch,dispatches
ditch,ditches
doctor,doctors
dog,dogs
doldrums,doldrums
dolly,dollies
dolphin,dolphins
donkey,donkeys
door,doors
dove,doves
dress,dresses
duck,ducks
